dijkstra_path,bellman_ford_path,A*
0.0005708000000002045,0.0013228999999999047,0.00025199999998903877
0.0004952999999989771,0.0012410000000002697,0.0002798000000012735
0.0004989000000001909,0.001565800000001616,0.0002584999999868387
0.0008330000000000837,0.0017896000000003909,0.0002597999999949252
0.0004894000000010834,0.0016847999999995977,0.00024140000000727468
0.0006205999999995271,0.0012468000000005475,
0.00048069999999889035,0.001581399999999178,
0.000505099999999814,0.001217900000000327,
0.0004778000000005278,0.0012172000000010286,
0.0004729999999995016,0.0012121999999994415,
